Job_Role,Pay,Location,State,Submit_Date,Hire_Date
ASSOCIATE SYSTEMS SPECIALIST,94800,DALLAS TX,TX,10/19/2018,10/29/2018
ASSOCIATE SYSTEMS SPECIALIST,94806,DALLAS TX,TX,10/11/2018,10/23/2018
ASSOCIATE TECHNICAL CONSULTANT,94266,SAN FRANCISCO CA,CA,9/10/2018,10/5/2018
ASSOCIATE VULNERABILITY MANAGEMENT SOFTWARE ENGINEER,102669,SAN FRANCISCO CA,CA,1/24/2018,7/11/2018
AVP COMMERCIAL SALES  GENERAL BUSINESS,166254,ATLANTA GA,GA,3/13/2018,8/12/2018
BACKUP ADMINISTRATOR,71240,INDIANAPOLIS IN,IN,1/15/2018,7/15/2018
BACKUP ADMINISTRATOR SYSTEMS ENGINEERING ASSOCIATE,71240,INDIANAPOLIS IN,IN,2/27/2018,7/15/2018
BIG DATA ENGINEER,83533,INDIANAPOLIS IN,IN,2/22/2018,8/2/2018
BIG DATA PERFORMANCE ENGINEER,122429,SAN FRANCISCO CA,CA,1/19/2018,7/17/2018
BUSINESS ANALYSIS MANAGER,118394,SAN FRANCISCO CA,CA,10/22/2018,4/9/2019
BUSINESS ANALYST,82763,SAN FRANCISCO CA,CA,1/25/2018,7/9/2018
BUSINESS ANALYST,100942,SAN FRANCISCO CA,CA,1/25/2018,2/5/2018
BUSINESS ANALYST,100942,SAN FRANCISCO CA,CA,2/1/2018,8/1/2018
BUSINESS DATA CONSULTANT,118394,SAN FRANCISCO CA,CA,8/20/2018,10/1/2018
BUSINESS DEVELOPMENT REPRESENTATIVE,51880,SAN FRANCISCO CA,CA,3/15/2018,9/12/2018
BUSINESS INTELLIGENCE ANALYST,82763,SAN FRANCISCO CA,CA,2/15/2018,7/18/2018
BUSINESS INTELLIGENCE ANALYST,89898,SAN FRANCISCO CA,CA,3/20/2018,9/19/2018
BUSINESS PROCESS SENIOR MANAGER,140046,SAN FRANCISCO CA,CA,1/11/2018,5/16/2018
BUSINESS SOLUTION ARCHITECT - ENTERPRISE DATA SERVICES,163134,SAN FRANCISCO CA,CA,4/2/2018,4/15/2018
BUSINESS SYSTEMS ANALYST,82763,SAN FRANCISCO CA,CA,3/2/2018,8/21/2018
BUSINESS SYSTEMS ANALYST,85176,HILLSBORO OR,OR,3/27/2018,9/20/2018
BUSINESS SYSTEMS SPECIALIST,89190,HILLSBORO OR,OR,1/17/2018,1/30/2018
BUSINESS VALUE SERVICES,110510,SAN FRANCISCO CA,CA,6/7/2018,6/18/2018
BUSINESS VALUE SERVICES SENIOR MANAGER,110510,SAN FRANCISCO CA,CA,6/19/2018,6/25/2018
CIRRICULUM DEVELOPER,62899,BURLINGTON MA,MA,2/1/2018,7/24/2018
COMPLIANCE & AUDIT SENIOR ANALYST,94328,SAN FRANCISCO CA,CA,11/2/2018,4/25/2019
COMPLIANCE AND AUDIT ANALYST,88442,SAN FRANCISCO CA,CA,2/22/2018,7/30/2018
CONTENT EXPERIENCE MANAGER,168189,SAN FRANCISCO CA,CA,9/26/2018,10/8/2018
CORPORATE MARKETING SENIOR MANAGER,151923,SAN FRANCISCO CA,CA,3/2/2018,8/17/2018
CREATIVE DESIGNER,49130,INDIANAPOLIS IN,IN,3/16/2018,9/15/2018
CREATIVE DESIGNER,49130,INDIANAPOLIS IN,IN,3/14/2018,7/26/2018
CREDITING ANALYST,89380,SAN FRANCISCO CA,CA,3/6/2018,9/4/2018
CSG PRODUCT DIRECTOR,157394,MIAMI BEACH FL,FL,2/21/2018,6/29/2018
CUSTOMER INTELLIGENCE ANALYST,82763,SAN FRANCISCO CA,CA,2/1/2018,7/31/2018
CUSTOMER INTELLIGENCE ANALYST,101587,SAN FRANCISCO CA,CA,2/15/2018,7/8/2018
CUSTOMER INTELLIGENCE DATA SCIENTIST,122824,SAN FRANCISCO CA,CA,3/12/2018,9/11/2018
CUSTOMER SUPPORT ENGINEER,72740,BURLINGTON MA,MA,3/10/2018,8/23/2018
DATA ANALYST,82763,SAN FRANCISCO CA,CA,3/16/2018,9/15/2018
DATA ANALYST,120432,SAN FRANCISCO CA,CA,3/6/2018,8/2/2018
DATA ENGINEER,113755,HERNDON VA,VA,1/29/2018,7/24/2018
DATA ENGINEER,141877,SAN FRANCISCO CA,CA,2/15/2018,7/18/2018
DATA ENGINEER,153774,SAN FRANCISCO CA,CA,1/25/2018,7/19/2018
DATA INSIGHTS ANALYST,82763,SAN FRANCISCO CA,CA,2/10/2018,7/9/2018
DATA INSIGHTS ANALYST,89898,SAN FRANCISCO CA,CA,3/20/2018,9/19/2018
DATA SCIENCE ENGINEER,142168,SAN FRANCISCO CA,CA,6/26/2018,11/23/2018
DATA SCIENTIST EMPLOYEE SUCCESS,101587,SAN FRANCISCO CA,CA,3/12/2018,9/11/2018
DATA SCIENTIST MTS,126027,CAMBRIDGE MA,MA,2/7/2018,2/19/2018
DATA SCIENTIST SMTS,163134,SAN FRANCISCO CA,CA,10/12/2018,10/15/2018
DATA SCIENTIST SMTS,163134,SAN FRANCISCO CA,CA,10/24/2018,11/5/2018
DATA WAREHOUSE ENGINEER,91270,INDIANAPOLIS IN,IN,5/23/2018,6/4/2018
DATABASE ADMIN & OPS SENIOR,94598,SALT LAKE CITY UT,UT,9/18/2018,3/12/2019
DATABASE ADMINISTRATOR,74131,SALT LAKE CITY UT,UT,2/1/2018,7/24/2018
DATABASE ENGINEER,120140,SAN FRANCISCO CA,CA,8/7/2018,1/29/2019
DATABASE ENGINEER SENIOR,157706,SAN FRANCISCO CA,CA,9/12/2018,9/24/2018
DATABASE PERFORMANCE ENGINEER,122429,SAN FRANCISCO CA,CA,1/31/2018,7/27/2018
DELIVERY MANAGER,123552,MCLEAN VA,VA,6/20/2018,7/2/2018
DEMO ENGINEER,79580,SAN FRANCISCO CA,CA,3/9/2018,7/10/2018
DEMO ENGINEER,86445,SAN FRANCISCO CA,CA,1/25/2018,7/10/2018
DEVELOPMENT SUPPORT ENGINEER,55980,BURLINGTON MA,MA,3/14/2018,8/16/2018
DEVOPS ENGINEER,147597,SAN FRANCISCO CA,CA,10/18/2018,10/29/2018
DIGITAL ADVISOR SR DIRECTOR,135886,NEW YORK NY,NY,3/4/2018,8/28/2018
DIGITAL ANALYST,63773,INDIANAPOLIS IN,IN,3/23/2018,9/22/2018
DIGITAL ANALYST,63773,INDIANAPOLIS IN,IN,3/23/2018,9/22/2018
DIRECTOR OF PRODUCT MANAGEMENT SEARCH,133099,SAN FRANCISCO CA,CA,7/25/2018,8/6/2018
DIRECTOR OF PRODUCT MANAGEMENT SEARCH,193482,SAN FRANCISCO CA,CA,6/27/2018,7/11/2018
DIRECTOR OF PRODUCT MANAGEMENT SEARCH,227240,SAN FRANCISCO CA,CA,6/29/2018,7/16/2018
DIRECTOR OF SECURITY EVANGELISM,197288,SAN FRANCISCO CA,CA,3/5/2018,8/10/2018
DIRECTOR SECURITY CUSTOMER ADVOCACY,201094,SAN FRANCISCO CA,CA,8/10/2018,8/27/2018
DIRECTOR DATABASE ENGINEERING,201094,SAN FRANCISCO CA,CA,8/2/2018,1/29/2019
DIRECTOR INFRASTRUCTURE SECURITY,227240,SAN FRANCISCO CA,CA,2/15/2018,8/5/2018
DIRECTOR MARKETING OPERATIONS,134600,SAN FRANCISCO CA,CA,3/13/2018,9/8/2018
DIRECTOR MARKETING OPERATIONS,147035,SAN FRANCISCO CA,CA,10/12/2018,11/1/2018
DIRECTOR PRODUCT DATA SCIENCE,195187,SAN FRANCISCO CA,CA,2/27/2018,8/24/2018
DIRECTOR PRODUCT DATA SCIENCE,195187,SAN FRANCISCO CA,CA,1/9/2018,6/18/2018
DIRECTOR PRODUCT MANAGEMENT,195187,SAN FRANCISCO CA,CA,2/5/2018,7/16/2018
DIRECTOR PRODUCT MANAGEMENT,195187,SAN FRANCISCO CA,CA,4/25/2018,5/7/2018
DIRECTOR PRODUCT MANAGEMENT,201094,SAN FRANCISCO CA,CA,11/8/2018,11/19/2018
DIRECTOR PRODUCT MARKETING,181813,SAN FRANCISCO CA,CA,8/16/2018,8/29/2018
DIRECTOR PROGRAM ARCHITECT,184246,WOODLAND HILLS CA,CA,6/11/2018,12/10/2018
DIRECTOR SALES STRATEGY & OPERATIONS,133099,SAN FRANCISCO CA,CA,7/12/2018,12/28/2018
DIRECTOR SALES STRATEGY & OPERATIONS,189197,SAN FRANCISCO CA,CA,5/17/2018,11/16/2018
DIRECTOR SOFTWARE ENGINEERING,142168,SAN FRANCISCO CA,CA,3/22/2018,8/24/2018
DIRECTOR SOFTWARE ENGINEERING,152984,SAN FRANCISCO CA,CA,3/9/2018,8/24/2018
DIRECTOR SOFTWARE ENGINEERING,173668,SAN FRANCISCO CA,CA,2/13/2018,8/11/2018
DIRECTOR SOFTWARE ENGINEERING,195187,SAN FRANCISCO CA,CA,2/21/2018,8/11/2018
DIRECTOR SOFTWARE ENGINEERING,195187,SAN FRANCISCO CA,CA,2/12/2018,8/11/2018
DIRECTOR SOFTWARE ENGINEERING,201094,SAN FRANCISCO CA,CA,10/4/2018,4/4/2019
DIRECTOR SOFTWARE ENGINEERING,201094,SAN FRANCISCO CA,CA,10/16/2018,4/16/2019
DIRECTOR SOFTWARE ENGINEERING,201094,SAN FRANCISCO CA,CA,7/17/2018,7/31/2018
DIRECTOR TECHNICAL OPERATIONS,195187,SAN FRANCISCO CA,CA,3/13/2018,9/11/2018
DIRECTOR TECHNICAL PROGRAM MANAGEMENT - AUTOMATION R&D,181522,BELLEVUE WA,WA,3/4/2018,8/22/2018
