Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
INDUSTRY LEAD DIRECTOR PRINCIPAL SALES TECHNOLOGIST,162503,PLEASANTON CA,CA,03/20/2018,03,2018,09/18/2018,09,2018
INFORMATION SECURITY RISK PROGRAM MANAGER,125000,PLEASANTON CA,CA,03/21/2016,03,2016,03/28/2016,03,2016
INFRASTRUCTURE ENGINEER,120806,PLEASANTON CA,CA,03/02/2017,03,2017,08/23/2017,08,2017
INTEGRATION DEVELOPER,86424,PLEASANTON CA,CA,03/02/2017,03,2017,03/15/2017,03,2017
INTEGRATION ENGINEER,130000,PLEASANTON CA,CA,07/17/2015,07,2015,07/27/2015,07,2015
IT ENDPOINT SECURITY ENGINEER,91728,PLEASANTON CA,CA,10/21/2016,10,2016,03/20/2017,03,2017
IT ENDPOINT SECURITY ENGINEER,101483,PLEASANTON CA,CA,04/02/2018,04,2018,09/26/2018,09,2018
IT SECURITY ENGINEER,112000,PLEASANTON CA,CA,05/13/2015,05,2015,05/21/2015,05,2015
LEAD DEVELOPER,123780,PLEASANTON CA,CA,06/29/2015,06,2015,09/16/2015,09,2015
MANAGER HCM PERFORMANCE PRODUCT MANAGEMENT,140760,PLEASANTON CA,CA,03/10/2016,03,2016,09/06/2016,09,2016
MANAGER OF SOFTWARE DEVELOPMENT APPLICATIONS,133494,PLEASANTON CA,CA,11/09/2017,11,2017,11/22/2017,11,2017
MANAGER DECISION SCIENCE,155000,PLEASANTON CA,CA,10/29/2015,10,2015,11/09/2015,11,2015
MANAGER ENTERPRISE APPLICATIONS,150615,PLEASANTON CA,CA,11/13/2018,11,2018,11/19/2018,11,2018
MANAGER PRODUCT MANAGEMENT,129501,PLEASANTON CA,CA,04/14/2017,04,2017,04/25/2017,04,2017
MANAGER SECURITY ENGINEERING,175000,PLEASANTON CA,CA,05/27/2016,05,2016,06/06/2016,06,2016
MANAGER SERVICE TRAINING,132210,PLEASANTON CA,CA,01/28/2016,01,2016,02/08/2016,02,2016
MANAGER SOFTWARE APPLICATION DEVELOPMENT,133494,PLEASANTON CA,CA,12/12/2017,12,2017,12/18/2017,12,2017
MANAGER SOFTWARE APPLICATION DEVELOPMENT,157659,PLEASANTON CA,CA,10/16/2018,10,2018,11/01/2018,11,2018
MANAGER SOFTWARE APPLICATION DEVELOPMENT,160000,PLEASANTON CA,CA,07/08/2016,07,2016,07/15/2016,07,2016
MANAGER SOFTWARE DEVELOPMENT APPLICATION,133494,PLEASANTON CA,CA,11/29/2017,11,2017,12/06/2017,12,2017
MANAGER SOFTWARE DEVELOPMENT APPLICATION,133494,PLEASANTON CA,CA,01/12/2018,01,2018,01/22/2018,01,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,129501,PLEASANTON CA,CA,12/13/2016,12,2016,12/26/2016,12,2016
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,138840,PLEASANTON CA,CA,07/26/2018,07,2018,08/02/2018,08,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,152000,PLEASANTON CA,CA,08/22/2018,08,2018,08/28/2018,08,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,152000,PLEASANTON CA,CA,09/17/2018,09,2018,09/24/2018,09,2018
MANAGER SOFTWARE DEVELOPMENT ENGINEERING,157659,PLEASANTON CA,CA,11/01/2018,11,2018,11/12/2018,11,2018
